Iteration,Metric_Name,Metric_Value,Metric_Unit
26,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9990,%
26,smsp__inst_executed_op_global_ld.sum,512,inst
26,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
26,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
26,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
26,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
27,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 68640,byte/s
27,lts__t_bytes.min,34 816,byte
27,lts__t_request_hit_rate.ratio,046,
27,lts__t_requests.max,287,request
27,lts__t_requests.min,278,request
27,lts__t_requests.sum,1 128,request
27,lts__t_sector_hit_rate.pct,4994,%
27,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
27,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62685,sector/s
27,lts__t_sectors_op_read.sum.per_second,2 62685,sector/s
27,lts__t_sectors_op_write.sum.per_second,2 44311,sector/s
27,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9988,%
27,smsp__inst_executed_op_global_ld.sum,512,inst
